Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,DaysSinceEnrolled,YearsSinceEnrolled,Age,AgeGroup,MntTotal,MntRegularProds,Children,HasChildren,AcceptedCmpTotal,HasAcceptedCmp,NumTotalPurchases
Basic,Partner,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,593,1,38,31-45,61,45,0,0,0,0,5
Graduation,Single,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,226,0,55,46-60,1102,1072,0,0,0,0,15
Master,Single,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,226,0,62,61+,310,296,2,1,0,0,12
Graduation,Partner,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,627,1,27,18-30,46,41,0,0,0,0,4
PhD,Single,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,582,1,68,61+,1315,1270,0,0,2,1,25
Graduation,Partner,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,552,1,34,31-45,96,92,2,1,0,0,6
Graduation,Partner,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,667,1,68,61+,317,289,0,0,0,0,11
Master,Partner,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,458,1,65,61+,1782,1606,1,1,1,1,24
2n Cycle,Single,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,603,1,29,18-30,133,94,1,1,0,0,6
Graduation,Partner,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,690,1,32,31-45,316,268,0,0,0,0,11
Graduation,Partner,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,539,1,35,31-45,1730,1729,1,1,0,0,28
PhD,Partner,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,553,1,65,61+,972,953,1,1,1,1,14
PhD,Partner,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,169,0,60,46-60,544,539,1,1,0,0,17
Graduation,Partner,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,468,1,63,61+,444,345,1,1,0,0,13
Graduation,Single,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,543,1,45,31-45,75,62,0,0,0,0,6
Graduation,Partner,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,398,1,38,31-45,257,216,2,1,0,0,10
Graduation,Partner,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,394,1,25,18-30,131,121,1,1,0,0,7
PhD,Partner,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,219,0,49,46-60,1672,1672,0,0,1,1,25
Master,Single,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,38,0,25,18-30,30,26,0,0,0,0,6
Master,Partner,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,414,1,51,46-60,318,229,0,0,0,0,10
Graduation,Partner,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,627,1,44,31-45,120,117,1,1,1,1,7
PhD,Single,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,608,1,62,61+,302,259,2,1,0,0,11
Master,Partner,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,494,1,68,61+,1196,1174,0,0,0,0,17
Master,Single,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,304,0,63,61+,65,62,2,1,0,0,5
PhD,Partner,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,180,0,44,31-45,913,878,1,1,0,0,23
2n Cycle,Partner,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,300,0,38,31-45,81,45,1,1,0,0,6
Graduation,Single,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,138,0,41,31-45,67,63,1,1,0,0,5
PhD,Single,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,513,1,71,61+,902,860,0,0,1,1,22
Graduation,Partner,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,426,1,34,31-45,1395,1293,1,1,0,0,19
Master,Partner,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,474,1,29,18-30,53,46,1,1,0,0,5
Graduation,Partner,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,552,1,57,46-60,22,19,1,1,0,0,3
Master,Partner,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,270,0,39,31-45,31,19,1,1,0,0,5
Graduation,Single,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,1,0,38,31-45,984,810,0,0,0,0,15
2n Cycle,Partner,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,597,1,18,18-30,122,72,0,0,0,0,7
Graduation,Partner,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,401,1,46,46-60,55,42,1,1,0,0,4
PhD,Partner,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,598,1,60,46-60,1319,1281,2,1,0,0,19
Graduation,Single,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,48,0,57,46-60,507,493,1,1,0,0,16
Master,Partner,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,687,1,50,46-60,1693,1661,0,0,0,0,28
Graduation,Single,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,543,1,37,31-45,72,69,1,1,0,0,5
Graduation,Single,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,22,0,37,31-45,1617,1376,0,0,2,1,20
Graduation,Partner,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,382,1,36,31-45,606,497,2,1,0,0,16
Master,Partner,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,587,1,59,46-60,1957,1767,0,0,1,1,26
Graduation,Single,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,453,1,48,46-60,1093,1053,0,0,0,0,20
Graduation,Single,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,62,0,26,18-30,29,24,1,1,0,0,5
PhD,Partner,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,118,0,46,46-60,518,475,1,1,0,0,16
Master,Single,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,360,0,32,31-45,1438,1358,0,0,2,1,20
Graduation,Partner,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,660,1,39,31-45,612,606,2,1,0,0,18
Graduation,Single,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,496,1,62,61+,884,715,1,1,0,0,20
PhD,Single,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,383,1,63,61+,606,600,1,1,0,0,18
Graduation,Partner,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,205,0,66,61+,1076,1046,0,0,0,0,15
Graduation,Partner,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,404,1,43,31-45,34,19,1,1,0,0,4
Graduation,Partner,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,49,0,47,46-60,11,11,2,1,0,0,3
2n Cycle,Single,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,102,0,35,31-45,1274,1236,1,1,2,1,31
Graduation,Partner,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,275,0,56,46-60,653,544,1,1,0,0,17
Graduation,Partner,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,447,1,44,31-45,1562,1489,3,1,0,0,12
Master,Partner,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,656,1,60,46-60,1253,1241,0,0,0,0,18
Graduation,Partner,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,469,1,55,46-60,863,777,1,1,0,0,26
PhD,Partner,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,450,1,39,31-45,661,642,2,1,1,1,19
Graduation,Partner,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,60,0,62,61+,65,56,0,0,0,0,7
Graduation,Single,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,557,1,37,31-45,13,12,1,1,0,0,3
Master,Partner,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,671,1,42,31-45,1890,1872,0,0,0,0,18
Graduation,Single,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,625,1,38,31-45,2209,2158,0,0,1,1,22
2n Cycle,Partner,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,298,0,38,31-45,18,9,0,0,0,0,3
Graduation,Partner,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,543,1,49,46-60,692,641,0,0,1,1,19
Graduation,Single,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,669,1,29,18-30,165,148,1,1,0,0,8
Graduation,Partner,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,371,1,45,31-45,16,12,1,1,0,0,3
2n Cycle,Partner,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,361,0,41,31-45,79,56,1,1,0,0,6
Master,Partner,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,414,1,51,46-60,318,229,0,0,0,0,10
Graduation,Single,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,124,0,27,18-30,778,702,0,0,0,0,26
Graduation,Partner,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,322,0,54,46-60,56,53,2,1,0,0,5
Master,Partner,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,348,0,44,31-45,151,146,2,1,1,1,8
Graduation,Single,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,32,0,57,46-60,372,338,1,1,2,1,13
Graduation,Partner,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,48,0,41,31-45,1366,1221,0,0,1,1,18
Graduation,Partner,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,159,0,47,46-60,194,187,1,1,0,0,9
Master,Single,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,98,0,42,31-45,32,28,1,1,0,0,4
PhD,Partner,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,36,0,44,31-45,43,43,1,1,0,0,7
Graduation,Partner,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,38,0,31,31-45,45,36,1,1,0,0,5
Graduation,Single,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,584,1,54,46-60,606,531,1,1,1,1,17
Graduation,Single,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,444,1,42,31-45,63,61,2,1,0,0,5
2n Cycle,Partner,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,210,0,63,61+,978,755,0,0,1,1,24
PhD,Partner,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,374,1,31,31-45,410,399,0,0,0,0,14
2n Cycle,Single,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,341,0,54,46-60,72,62,1,1,0,0,5
PhD,Single,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,91,0,55,46-60,55,50,1,1,0,0,5
Graduation,Partner,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,435,1,35,31-45,1169,1058,1,1,0,0,25
PhD,Partner,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,408,1,69,61+,1120,1039,0,0,0,0,15
Graduation,Partner,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,52,0,55,46-60,1097,1059,0,0,0,0,19
Basic,Partner,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,201,0,35,31-45,29,20,1,1,0,0,4
Graduation,Partner,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,278,0,50,46-60,187,180,2,1,0,0,9
Graduation,Partner,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,512,1,45,31-45,910,845,2,1,0,0,22
Graduation,Single,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,557,1,36,31-45,145,118,1,1,0,0,7
Master,Partner,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,569,1,54,46-60,850,807,0,0,0,0,13
Graduation,Partner,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,239,0,35,31-45,969,890,1,1,0,0,23
PhD,Single,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,596,1,23,18-30,1820,1734,0,0,1,1,16
Master,Partner,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,4,0,51,46-60,608,548,1,1,1,1,17
Graduation,Single,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,543,1,23,18-30,730,708,0,0,2,1,24
PhD,Partner,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,564,1,34,31-45,551,479,1,1,0,0,16
Graduation,Single,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,292,0,52,46-60,114,87,2,1,0,0,6
Graduation,Partner,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,156,0,44,31-45,1724,1691,0,0,2,1,15
2n Cycle,Partner,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,495,1,36,31-45,577,457,1,1,0,0,15
2n Cycle,Partner,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,353,0,47,46-60,81,51,2,1,0,0,5
Graduation,Partner,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,227,0,45,31-45,33,30,1,1,0,0,5
Master,Partner,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,374,1,61,61+,660,612,1,1,0,0,18
Master,Single,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,125,0,47,46-60,80,70,1,1,0,0,6
Master,Partner,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,298,0,29,18-30,30,23,2,1,0,0,4
Graduation,Single,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,433,1,38,31-45,43,41,1,1,0,0,4
Graduation,Single,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,474,1,31,31-45,1135,967,0,0,3,1,27
2n Cycle,Partner,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,496,1,49,46-60,559,387,0,0,0,0,14
Graduation,Single,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,434,1,30,18-30,1923,1707,0,0,0,0,15
Master,Partner,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,21,0,61,61+,90,86,2,1,0,0,6
PhD,Partner,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,50,0,58,46-60,661,649,2,1,0,0,19
Graduation,Partner,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,272,0,62,61+,463,405,1,1,0,0,14
Master,Single,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,476,1,56,46-60,632,591,2,1,0,0,18
Graduation,Partner,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,139,0,45,31-45,725,595,0,0,0,0,18
PhD,Partner,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,319,0,50,46-60,279,256,2,1,0,0,11
PhD,Partner,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,469,1,47,46-60,1482,1482,0,0,1,1,22
Basic,Single,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,690,1,38,31-45,29,20,1,1,0,0,4
PhD,Partner,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,357,0,55,46-60,106,90,3,1,0,0,6
PhD,Single,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,41,0,41,31-45,49,29,2,1,1,1,4
PhD,Single,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,336,0,49,46-60,38,34,2,1,0,0,5
Master,Single,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,618,1,22,18-30,2077,2057,0,0,0,0,21
Master,Partner,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,227,0,38,31-45,1053,1003,1,1,0,0,15
Graduation,Partner,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,436,1,52,46-60,1385,1259,0,0,0,0,22
PhD,Single,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,305,0,40,31-45,871,838,1,1,0,0,22
Graduation,Partner,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,467,1,26,18-30,312,196,1,1,0,0,9
Graduation,Partner,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,619,1,38,31-45,877,828,2,1,0,0,12
Graduation,Partner,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,609,1,39,31-45,68,52,1,1,0,0,5
Graduation,Partner,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,305,0,33,31-45,22,18,1,1,0,0,3
2n Cycle,Partner,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,676,1,41,31-45,211,179,3,1,0,0,9
Master,Partner,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,8,0,48,46-60,127,119,0,0,0,0,7
Master,Partner,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,66,0,61,61+,459,446,2,1,0,0,15
Graduation,Partner,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,114,0,45,31-45,460,447,1,1,1,1,15
2n Cycle,Partner,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,562,1,42,31-45,429,338,1,1,0,0,13
Graduation,Single,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,48,0,26,18-30,89,69,1,1,0,0,7
PhD,Partner,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,628,1,62,61+,1021,945,1,1,0,0,24
Graduation,Partner,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,495,1,65,61+,1381,1339,0,0,2,1,20
Graduation,Single,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,356,0,56,46-60,306,303,1,1,0,0,12
Graduation,Single,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,290,0,36,31-45,18,18,3,1,0,0,3
Graduation,Partner,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,255,0,37,31-45,162,148,1,1,0,0,8
Graduation,Single,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,313,0,59,46-60,1231,1174,0,0,0,0,17
Master,Single,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,363,0,56,46-60,13,8,3,1,0,0,3
PhD,Partner,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,601,1,69,61+,1706,1673,0,0,0,0,25
Graduation,Partner,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,175,0,30,18-30,121,116,1,1,0,0,7
PhD,Single,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,424,1,39,31-45,1293,1281,0,0,0,0,19
Graduation,Partner,43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,228,0,48,46-60,88,60,3,1,0,0,6
Graduation,Single,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,223,0,61,61+,421,394,0,0,1,1,17
Graduation,Single,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,305,0,55,46-60,259,257,0,0,1,1,11
Graduation,Single,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,239,0,26,18-30,1117,993,0,0,0,0,14
Graduation,Partner,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,124,0,57,46-60,89,69,2,1,0,0,6
Graduation,Partner,33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,69,0,49,46-60,36,29,2,1,0,0,4
Graduation,Partner,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,351,0,32,31-45,57,41,1,1,0,0,5
Graduation,Partner,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,69,0,44,31-45,148,121,2,1,0,0,7
PhD,Partner,53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,150,0,55,46-60,93,87,2,1,0,0,6
Graduation,Single,52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,86,0,47,46-60,119,71,1,1,1,1,6
PhD,Partner,80427.0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,655,1,39,31-45,1835,1809,1,1,0,0,27
PhD,Partner,83837.0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,560,1,66,61+,1318,1207,0,0,2,1,24
PhD,Partner,38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,37,0,44,31-45,45,43,2,1,0,0,5
Graduation,Partner,38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,5,0,55,46-60,10,9,3,1,0,0,3
2n Cycle,Partner,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,210,0,63,61+,978,755,0,0,1,1,24
PhD,Partner,51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,49,0,38,31-45,191,184,1,1,0,0,9
